2409026;161;BGI;LFW-ALMAZRSXYG;Wuling Almaz (Sensor);1;1485000;1485000;02/09/2024;0;4330700;Unpaid;-;60;3
2409026;161;BGI;LFW-CAMRY06XYG;Toyota Camry 06-11 XV40 4th Gen;2;1422850;2845700;02/09/2024;0;4330700;Unpaid;-;60;3
2409035;162;BGI;LFW-CAMRY06RSXYG;Toyota Camry 06-11 XV40 4th Gen;1;1552650;1552650;02/09/2024;0;1552650;Unpaid;-;60;1
2409177;163;BGI;TRW-FREEDXYG;Honda Freed 08-16 1st gen;2;637000;1274000;05/09/2024;0;2440000;Unpaid;-;60;4
2409177;163;BGI;SRL-HIACEXYG;Toyota Hi-Ace 04-20 Commuter;2;583000;1166000;05/09/2024;0;2440000;Unpaid;-;60;4
M202409022;164;BGI;OTH-SEALANTXYG;OTH-;80;33000;2640000;05/09/2024;0;2640000;Paid;"1-10002";60;80
2409329;165;BGI;TRW-BIANTEBLACKXYG;Mazda Biante 08- (Hitam);2;1701150;3402300;10/09/2024;0;3402300;Unpaid;-;60;2
2409287;166;BGI;LFW-INNOVA15MU;Toyota Innova 15- 2nd Gen;1;750200;750200;10/09/2024;0;750200;Unpaid;-;60;1
2409338;167;BGI;LFW-W169XYG;Mers-Benz A150/170/A200 05-12 W169/ B-Class 05-11 W245;1;2316600;2316600;11/09/2024;0;2316600;Unpaid;-;60;1
SJ001048;168;RJG;LFW-HRV22PIL;Honda HR-V 22- 5D SUV (Honda);3;1875000;5625000;11/09/2024;0;5625000;Unpaid;-;60;3
2409423;169;BGI;LFW-RUBICON18XYG;Jeep Wrangler Rubicon 18- JL;1;2371050;2371050;13/09/2024;0;2371050;Unpaid;-;60;1
MKS-140924;170;MKS;LFW-INNOVA15AGC;Toyota Innova 04-15 1st Gen (Toyota);1;1674000;1674000;14/09/2024;0;2871000;Paid;"1-10002";0;2
MKS-140924;170;MKS;TRW-INNOVA15HAGC;Toyota Innova 04-15 1st Gen (Toyota);1;1197000;1197000;14/09/2024;0;2871000;Paid;"1-10002";0;2
SI2024I000100;171;MJD;LFW-TERRA18RSXYG;Nissan Terra 18-;1;2025000;2025000;13/09/2024;0;3916500;Paid;"1-10002";0;3
SI2024I000100;171;MJD;LFW-CITY19XYG;Honda City 19- GN;1;1741500;1741500;13/09/2024;0;3916500;Paid;"1-10002";0;3
SI2024I000100;171;MJD;OTH-PETIKAYU;Peti Kayu;1;150000;150000;13/09/2024;0;3916500;Paid;"1-10002";0;3
2409442;172;BGI;TRW-VIOS07LIMOXYG;Toyota Vios 07-13 XP90 2nd Gen (Limo);2;531000;1062000;17/09/2024;0;2547000;Unpaid;-;60;4
2409442;172;BGI;TRW-STARGAZERXYG;Hyundai Stargazer 22-;2;742500;1485000;17/09/2024;0;2547000;Unpaid;-;60;4
2409490;173;BGI;LFW-EVALIAXYG;Nissan Evalia 10- X11M;1;686400;686400;18/09/2024;0;686400;Unpaid;-;60;1
2409483;174;BGI;TRW-AVANZA11HXYG;Toyota Avanza / Xenia 11-15 2nd Gen / 15-21 3rd Gen;5;313000;1565000;18/09/2024;0;5921800;Unpaid;-;60;9
2409483;174;BGI;LFW-MAZDA214RS1XYG;Mazda 2 14- Skyactiv 4th Gen (1 Sensor/ ? );2;1489400;2978800;18/09/2024;0;5921800;Unpaid;-;60;9
2409483;174;BGI;TRW-VIOS07XYG;Toyota Vios 07-13 XP90 2nd Gen;2;689000;1378000;18/09/2024;0;5921800;Unpaid;-;60;9
05024/2024;175;PJB;SWR-PANTHER91ASH;Isuzu Panther  91-99 1st Gen Kotak;5;158099,4;790497;19/09/2024;0;790497;Unpaid;-;30;5
SMM-190924;176;SMM;TRW-ESTILOAIS;Suzuki Karimun Estilo 07- (Suzuki);1;1050000;1050000;19/09/2024;0;1050000;Paid;"1-10002";0;1
2409523;177;BGI;LFW-BALENO08XYG;Suzuki Baleno 08-15 SX4 / Neo Baleno;3;679800;2039400;19/09/2024;0;2693900;Unpaid;-;60;4
2409523;177;BGI;LFW-CITY96XYG;Honda City 96-02 3rdGen (City Z);1;654500;654500;19/09/2024;0;2693900;Unpaid;-;60;4
SI2024I000124;178;MJD;LFW-SORENTOXYG;Kia Sorento 09-14 2nd Gen;1;1575750;1575750;19/09/2024;0;1725750;Paid;"1-10002";0;2
SI2024I000124;178;MJD;OTH-PETIKAYU;Peti Kayu;1;150000;150000;19/09/2024;0;1725750;Paid;"1-10002";0;2
SI2024I000145;179;MJD;LFW-E84XYG;BMW X1 Series 09-14 E84 (1 Sensor / [] );1;2961000;2961000;21/09/2024;0;3111000;Paid;"1-10002";0;2
SI2024I000145;179;MJD;OTH-PETIKAYU;Peti Kayu;1;150000;150000;21/09/2024;0;3111000;Paid;"1-10002";0;2
2409616;180;BGI;TRW-CRV12NONPXYG;Honda CR-V 12-16 4th Gen [Rata];2;595000;1190000;23/09/2024;0;3388650;Unpaid;-;60;5
2409616;180;BGI;TRW-FORTUNER05BLACKXYG;Toyota Fortuner 05-15 1st Gen (Hitam);2;785000;1570000;23/09/2024;0;3388650;Unpaid;-;60;5
2409616;180;BGI;LFW-MARCHMU;Nissan March 10- K13;1;628650;628650;23/09/2024;0;3388650;Unpaid;-;60;5
MM-QXD23;181;MM;LFW-PAJERO20RSAGC;Mitsubishi Pajero 20- (1 Sensor / ? ) (Mitsubishi);1;2420000;2420000;23/09/2024;0;2420000;Paid;"1-10002";0;1
PSC-24090134;182;IMS;LFW-BRIOAGC;Honda Brio 10- / Mobilio 11-;5;738150,1;3690750,5;26/09/2024;0;4349813;Paid;"1-10002";0;6
PSC-24090134;182;IMS;TRW-BRIO10HOLEAGC;Honda Brio 10-17 [Lubang Wiper] (Honda);1;659062,5;659062,5;26/09/2024;0;4349813;Paid;"1-10002";0;6
2409641;183;BGI;LFW-CRV07MU;Honda CR-V 07-11 3rd Gen;1;826100;826100;23/09/2024;0;1652200;Unpaid;-;60;2
2409641;183;BGI;LFW-CRV07XYG;Honda CR-V 07-11 3rd Gen;1;826100;826100;23/09/2024;0;1652200;Unpaid;-;60;2
2409707;184;BGI;TRW-STREAM00XYG;Honda Stream 00-06 S7A/RN1;1;849000;849000;25/09/2024;0;849000;Unpaid;-;60;1
DUMMY;185;RJG;LFW-INNOVA04MSG;Toyota Innova 04-15 1st Gen;4;932000;3728000;27/09/2024;0;8728000;Unpaid;-;60;9
DUMMY;185;RJG;LFW-HRV14PIL;Honda HR-V 14-21 5D SUV (Honda);5;1000000;5000000;27/09/2024;0;8728000;Unpaid;-;60;9
SJ001045;186;RJG;TRW-T30FR;Nissan X-Trail 01-07 T30;2;389466,6;778933,2;07/09/2024;0;1978933,2;Unpaid;-;60;4
SJ001045;186;RJG;TRW-JAZZ13PIL;Honda Jazz 13- 3rd Gen (Honda);1;600000;600000;07/09/2024;0;1978933,2;Unpaid;-;60;4
SJ001045;186;RJG;TRW-HRV14PIL;Honda HR-V 14-21 5D SUV (Honda);1;600000;600000;07/09/2024;0;1978933,2;Unpaid;-;60;4
